17:14:22.950726,17:14:22.950873,17:14:22.950993
17:14:23.951183,17:14:23.951309,17:14:23.951420
17:14:24.951574,17:14:24.951694,17:14:24.951759
17:14:25.951878,17:14:25.952021,17:14:25.952087
17:14:26.952183,17:14:26.952310,17:14:26.952415
17:14:27.952508,17:14:27.952627,17:14:27.952743
17:14:28.952887,17:14:28.953007,17:14:28.953118
17:14:29.953275,17:14:29.953397,17:14:29.953483
17:14:30.953630,17:14:30.953761,17:14:30.953839
17:14:31.953987,17:14:31.954116,17:14:31.954186
17:14:32.954333,17:14:32.954461,17:14:32.954578
17:14:33.954727,17:14:33.954853,17:14:33.954972
17:14:34.955122,17:14:34.955246,17:14:34.955365
17:14:35.955525,17:14:35.955759,17:14:35.956024
17:14:36.956121,17:14:36.956257,17:14:36.956298
17:14:37.956427,17:14:37.956554,17:14:37.956670
17:14:38.956816,17:14:38.956946,17:14:38.956988
17:14:39.957138,17:14:39.957262,17:14:39.957370
17:14:40.957520,17:14:40.957654,17:14:40.957697
17:14:41.957845,17:14:41.957975,17:14:41.958083
17:14:42.958229,17:14:42.958396,17:14:42.958502
17:14:43.958651,17:14:43.958817,17:14:43.958887
17:14:44.959032,17:14:44.959156,17:14:44.959226
17:14:45.959377,17:14:45.959498,17:14:45.959605
17:14:46.959755,17:14:46.959886,17:14:46.959938
17:14:47.960040,17:14:47.960143,17:14:47.960214
17:14:48.960346,17:14:48.960442,17:14:48.960513
17:14:49.960657,17:14:49.960758,17:14:49.960832
17:14:50.960977,17:14:50.961076,17:14:50.961147
17:14:51.961292,17:14:51.961392,17:14:51.961463
17:14:52.961609,17:14:52.961707,17:14:52.961778
17:14:53.961922,17:14:53.962042,17:14:53.962105
17:14:54.962249,17:14:54.962369,17:14:54.962440
17:14:55.962582,17:14:55.962702,17:14:55.962764
17:14:56.962909,17:14:56.963035,17:14:56.963107
17:14:57.963253,17:14:57.963375,17:14:57.963488
17:14:58.963634,17:14:58.963731,17:14:58.963802
17:14:59.963954,17:14:59.964124,17:14:59.964239
17:15:0.964336,17:15:0.964465,17:15:0.964537
17:15:1.964682,17:15:1.964805,17:15:1.964877
17:15:2.965025,17:15:2.965151,17:15:2.965220
17:15:3.965381,17:15:3.965505,17:15:3.965575
17:15:4.965721,17:15:4.965852,17:15:4.965930
17:15:5.966076,17:15:5.966200,17:15:5.966241
17:15:6.966341,17:15:6.966479,17:15:6.966518
17:15:7.966666,17:15:7.966795,17:15:7.966863
17:15:8.967005,17:15:8.967131,17:15:8.967173
17:15:9.967323,17:15:9.967445,17:15:9.967554
17:15:10.967700,17:15:10.967827,17:15:10.967898
17:15:11.968001,17:15:11.968124,17:15:11.968237
17:15:12.968370,17:15:12.968499,17:15:12.968573
17:15:13.968705,17:15:13.968828,17:15:13.968897
17:15:14.969030,17:15:14.969255,17:15:14.969333
17:15:15.969487,17:15:15.969609,17:15:15.969653
17:15:16.969790,17:15:16.969906,17:15:16.970031
17:15:17.970168,17:15:17.970276,17:15:17.970318
17:15:18.970453,17:15:18.970574,17:15:18.970682
17:15:19.970827,17:15:19.970944,17:15:19.971010
17:15:20.971153,17:15:20.971274,17:15:20.971342
17:15:21.971489,17:15:21.971612,17:15:21.971676
