17:51:53.299018,17:51:53.299109,17:51:53.299246
17:51:54.299404,17:51:54.299528,17:51:54.299665
17:51:55.299816,17:51:55.299905,17:51:55.300009
17:51:56.300105,17:51:56.300225,17:51:56.300295
17:51:57.300419,17:51:57.300490,17:51:57.300555
17:51:58.300684,17:51:58.300773,17:51:58.300862
17:51:59.301009,17:51:59.301099,17:51:59.301187
17:52:0.301335,17:52:0.301423,17:52:0.301513
17:52:1.301663,17:52:1.301752,17:52:1.301841
17:52:2.301990,17:52:2.302079,17:52:2.302169
17:52:3.302314,17:52:3.302403,17:52:3.302498
17:52:4.302643,17:52:4.302732,17:52:4.302821
17:52:5.302970,17:52:5.303063,17:52:5.303154
17:52:6.303310,17:52:6.303397,17:52:6.303465
17:52:7.303595,17:52:7.303689,17:52:7.303762
17:52:8.303917,17:52:8.304017,17:52:8.304105
17:52:9.304253,17:52:9.304345,17:52:9.304433
17:52:10.304579,17:52:10.304670,17:52:10.304759
17:52:11.304901,17:52:11.304991,17:52:11.305055
17:52:12.305200,17:52:12.305290,17:52:12.305379
17:52:13.305520,17:52:13.305609,17:52:13.305697
17:52:14.305836,17:52:14.305927,17:52:14.305991
17:52:15.306143,17:52:15.306263,17:52:15.306400
17:52:16.306545,17:52:16.306642,17:52:16.306743
17:52:17.306888,17:52:17.307041,17:52:17.307141
17:52:18.307233,17:52:18.307324,17:52:18.307421
17:52:19.307564,17:52:19.307718,17:52:19.307822
17:52:20.307988,17:52:20.308080,17:52:20.308307
17:52:21.308432,17:52:21.308571,17:52:21.308678
17:52:22.308824,17:52:22.308979,17:52:22.309077
17:52:23.309222,17:52:23.309333,17:52:23.309419
17:52:24.309563,17:52:24.309656,17:52:24.309746
17:52:25.309873,17:52:25.309967,17:52:25.310031
17:52:26.310159,17:52:26.310247,17:52:26.310338
17:52:27.310460,17:52:27.310572,17:52:27.310626
17:52:28.310776,17:52:28.310894,17:52:28.310984
17:52:29.311129,17:52:29.311251,17:52:29.311321
17:52:30.311467,17:52:30.311565,17:52:30.311641
17:52:31.311795,17:52:31.311971,17:52:31.312113
17:52:32.312275,17:52:32.312432,17:52:32.312517
17:52:33.312676,17:52:33.312834,17:52:33.312931
17:52:34.313083,17:52:34.313172,17:52:34.313262
17:52:35.313403,17:52:35.313496,17:52:35.313563
17:52:36.313710,17:52:36.313799,17:52:36.313864
17:52:37.314011,17:52:37.314100,17:52:37.314165
17:52:38.314311,17:52:38.314413,17:52:38.314504
17:52:39.314652,17:52:39.314746,17:52:39.314836
17:52:40.314979,17:52:40.315068,17:52:40.315156
17:52:41.315251,17:52:41.315402,17:52:41.315680
17:52:42.315825,17:52:42.315953,17:52:42.316054
17:52:43.316200,17:52:43.316318,17:52:43.316405
17:52:44.316550,17:52:44.316706,17:52:44.316794
17:52:45.316935,17:52:45.317064,17:52:45.317169
17:52:46.317302,17:52:46.317416,17:52:46.317504
17:52:47.317644,17:52:47.317800,17:52:47.317888
17:52:48.318001,17:52:48.318118,17:52:48.318207
17:52:49.318350,17:52:49.318470,17:52:49.318597
17:52:50.318737,17:52:50.318855,17:52:50.318943
17:52:51.319086,17:52:51.319204,17:52:51.319291
17:52:52.319437,17:52:52.319556,17:52:52.319645
